epoch,total_loss,data_loss,physics_loss
165,10.598065733909607,10.588508903980255,0.0019932201648771297
166,11.047644257545471,11.013569355010986,0.026898690754023846
167,10.057936489582062,10.034564673900604,0.01659862191081629
168,9.805825889110565,9.758553862571716,0.04085451635546633
169,8.758586466312408,8.59491240978241,0.15766205747240747
170,11.290310442447662,8.822698533535004,2.4620028263379936
171,8.61080938577652,8.335146009922028,0.27045136869855924
172,8.504794180393219,8.434844315052032,0.06513611128684715
173,8.168418645858765,8.158647119998932,0.005359087677788921
174,8.220332980155945,8.213572680950165,0.00275775075351703
175,8.419830739498138,8.264240980148315,0.15198597833295935
176,8.691706717014313,8.633094191551208,0.055394729832187295
177,8.120171785354614,8.110945045948029,0.006375702549121343
178,8.373070657253265,8.363076210021973,0.00751103289439925
179,8.337816536426544,8.255047023296356,0.08064354125599493
180,8.098827600479126,8.092364847660065,0.004671117399993818
181,8.319594264030457,8.228919446468353,0.08922641026583733
182,8.245886981487274,8.11798495054245,0.1267821304136305
183,12.711140811443329,8.084203481674194,4.626148694806034
184,7.988145351409912,7.957431256771088,0.03026409370613692
185,7.846969246864319,7.836966454982758,0.009889121774904197
186,7.951226592063904,7.926625490188599,0.02440548554659472
187,7.997789144515991,7.939507603645325,0.058095935029996326
188,7.918106377124786,7.797121286392212,0.12091696129209595
189,8.148149847984314,8.132546067237854,0.015499719809668022
190,7.761891663074493,7.755562841892242,0.006285171803028788
191,7.94708776473999,7.921858966350555,0.025183984227624023
192,7.880370020866394,7.854599356651306,0.025710383037221618
193,7.824880480766296,7.7416627407073975,0.083178984838014
194,7.749557971954346,7.739874541759491,0.009652357395680156
195,7.695256769657135,7.671457767486572,0.023783752640156308
196,7.6349456906318665,7.631696343421936,0.0032326821274182294
197,7.845970094203949,7.84454733133316,0.0014099384989094688
198,8.476536691188812,7.774955153465271,0.7015630162495654
199,8.675743520259857,7.701804518699646,0.973914176605831
200,7.76709258556366,7.754582464694977,0.012491768291511107
201,7.685463190078735,7.680507302284241,0.0049301187791570555
202,7.701786994934082,7.685508728027344,0.016258776504400885
203,7.724760711193085,7.682609736919403,0.04213824088219553
204,7.652227520942688,7.651521384716034,0.0006952932017156854
205,7.9638831615448,7.687987506389618,0.27588521087091067
206,7.653385400772095,7.6391565799713135,0.01422146044751571
207,7.645012438297272,7.621106028556824,0.02389519831740472
208,7.654256105422974,7.644091367721558,0.01015853218450502
209,9.493490815162659,7.720674395561218,1.7728042624730733
210,9.87867921590805,7.614274501800537,2.264393222903891
211,7.604046642780304,7.600162506103516,0.003872624278301373
212,8.226577937602997,7.575922250747681,0.6506510574181448
213,7.627300977706909,7.62597119808197,0.001323723809036892
214,7.73449045419693,7.7191579937934875,0.015327711116697174
215,7.636390328407288,7.628276228904724,0.008107851952445344
216,7.657043695449829,7.655739605426788,0.001294847606914118
217,9.361694097518921,7.672650337219238,1.6890289232360374
218,7.770872533321381,7.5961387157440186,0.17470771357329795
219,7.780275940895081,7.595771431922913,0.1844854751652747
220,7.813706278800964,7.669436573982239,0.14425873846630566
221,7.776008903980255,7.6458481550216675,0.13015153070591623
222,7.649987101554871,7.637299358844757,0.012678535866143648
223,7.638564109802246,7.626393914222717,0.012163179382696399
224,10.172613382339478,7.616485118865967,2.5561177158779174
225,7.718739807605743,7.624917149543762,0.09380422209505923
226,243.12636083364487,7.650036513805389,235.4763072617352
227,7.717346370220184,7.690069794654846,0.02725942563120043
228,7.693012595176697,7.671597599983215,0.02140559389226837
229,7.710282504558563,7.704457461833954,0.00581298067845637
230,7.716952562332153,7.715552508831024,0.0013810333075525705
231,7.807589292526245,7.73471611738205,0.07284927060391055
232,7.8451820611953735,7.626336514949799,0.21882287729386007
233,7.695194900035858,7.65919303894043,0.03598098294241936
234,7.784581005573273,7.706741392612457,0.07781664007416111
235,7.692026376724243,7.685946822166443,0.006046904980394174
236,7.649122714996338,7.646605849266052,0.002496248544048285
237,7.563669383525848,7.5622029304504395,0.001446694070182275
238,7.78760153055191,7.560003936290741,0.22758061935383012
239,7.796783089637756,7.653338551521301,0.1434275629781041
240,7.665547251701355,7.598342776298523,0.0671872748498572
241,7.693412721157074,7.668520152568817,0.024874672895748517
242,7.5967172384262085,7.594484508037567,0.0022193300083017675
243,7.813322424888611,7.666154146194458,0.1471530324579362
244,7.614226579666138,7.572001278400421,0.04221548941131914
245,9.170795142650604,7.592873632907867,1.5779071298093186
246,8.183971881866455,7.652200639247894,0.5317554181856394
247,7.669595122337341,7.563275098800659,0.1063005497908307
248,7.614721596240997,7.613964915275574,0.0007380571296380367
249,7.905604898929596,7.726239919662476,0.17935742059307813
250,7.729794502258301,7.631927788257599,0.09785548094077967
251,7.601315677165985,7.5694833397865295,0.03180435845206375
252,7.7944788336753845,7.642122685909271,0.1523393321022013
253,12.949178338050842,7.53905588388443,5.410107246407279
254,8.468721210956573,7.579651892185211,0.8890537660972768
255,7.4728535413742065,7.443118214607239,0.029720026252107345
256,7.561084866523743,7.551801562309265,0.009273640622268431
257,7.616006851196289,7.558409869670868,0.05758460172728519
258,7.531841933727264,7.502954721450806,0.028880064561235486
259,7.6434913873672485,7.574051678180695,0.06943138691349304
260,13.762758195400238,7.613357126712799,6.1493913128069835
261,7.714263200759888,7.594968676567078,0.1192864080912841
262,7.619366228580475,7.462701499462128,0.15665435442497255
263,7.5724263191223145,7.517620325088501,0.05479824063877459
264,7.633640468120575,7.557898104190826,0.0757347376566031
265,7.7426058650016785,7.6210185289382935,0.12158052129598218
266,7.523622512817383,7.485865950584412,0.03774988476288854
267,7.583726763725281,7.487528741359711,0.09618899151610094
268,7.746735751628876,7.2998451590538025,0.44688103228691034
269,7.647184491157532,7.639491975307465,0.007681331200728891
270,7.42661988735199,7.4236743450164795,0.002933834824943915
271,7.618697166442871,7.605996787548065,0.01267850255680969
272,7.46273809671402,7.452375531196594,0.010348949734179769
273,7.958104908466339,7.9271562695503235,0.03092796350028948
274,7.905330717563629,7.440292775630951,0.46502616325960844
275,7.738352477550507,7.492257237434387,0.2460830246527621
276,7.793825566768646,7.518963515758514,0.27484882213138917
277,9.666703343391418,7.614131271839142,2.052560062982593
278,7.618535578250885,7.615407645702362,0.003115108011115808
279,7.64830470085144,7.5446478724479675,0.10363119789326447
280,7.494426846504211,7.387289583683014,0.10710709346676595
281,7.545802295207977,7.535873889923096,0.009901472400088096
282,74.23330891132355,7.549130856990814,66.68416835239259
283,10.116728007793427,7.317600965499878,2.7991140417580027
284,7.894489228725433,7.4942286014556885,0.4002423321326205
285,8.82693088054657,7.537558555603027,1.2893494611344067
286,7.784666001796722,7.495655357837677,0.28899787325644866
287,7.531974256038666,7.4510602951049805,0.0808995718616643
288,7.483178198337555,7.4600138664245605,0.02314904474769719
289,31.402748465538025,7.481243848800659,23.92149431983671
290,7.479364573955536,7.467743277549744,0.011613904673140496
291,7.540434539318085,7.534797489643097,0.00562804531364236
292,7.577482461929321,7.558882355690002,0.018596073765365873
293,7.537636637687683,7.45972740650177,0.077899738564156
294,7.421933472156525,7.391815483570099,0.030108438369097712
295,7.498048901557922,7.4869906306266785,0.011044238839531317
296,7.553811073303223,7.436890184879303,0.11691184235860419
297,7.758487403392792,7.581837058067322,0.1766397484461777
298,11.138031840324402,7.542013347148895,3.5960106419224758
299,7.4347381591796875,7.431858658790588,0.0028698649584839586
300,7.753088533878326,7.531489253044128,0.2215907376139512
301,7.8605846762657166,7.468912899494171,0.39166394718631636
302,7.39070987701416,7.377173483371735,0.013522877525247168
303,7.543993771076202,7.473424851894379,0.07055457972819568
304,7.638908922672272,7.59300172328949,0.045899478307546815
305,7.495652854442596,7.457822740077972,0.037824551698577125
